,StreetAddress,City,State,ZipCode,Latitude,Longitude,Price,YearBuilt,LotSize,HomeType,Zestimate,Bedrooms,Bathrooms,LivingArea,HOA,BrokerageName,LastSoldPrice,HomeStatus,Parking
0,709 W Orange Ave,South San Francisco,CA,94080,37.64973,-122.43276,949000,1944,3998,SINGLE_FAMILY,1152400,2,1,800,,Coldwell Banker Realty,680000,FOR_SALE,0
1,1 Mandalay Pl UNIT 702,South San Francisco,CA,94080,37.666145,-122.40382,749000,2004,44731,CONDO,770400,1,1,935,538,Coldwell Banker Realty,575000,FOR_SALE,2
2,814 Miller Ave,South San Francisco,CA,94080,37.660213,-122.4269,1805000,1939,7000,SINGLE_FAMILY,1855500,4,3,2000,,KW Peninsula Estates,1605000,FOR_SALE,0
3,353 Granada Dr,South San Francisco,CA,94080,37.64136,-122.43593,1195000,1955,5250,SINGLE_FAMILY,1327500,3,1,1160,,Sotheby's International Realty,,FOR_SALE,2
4,10 Moonlight Ct,South San Francisco,CA,94080,37.6417,-122.44822,1180000,1995,1865,SINGLE_FAMILY,1339200,3,3,1610,130,Compass,650000,FOR_SALE,3
5,389 Heather Way,South San Francisco,CA,94080,37.666046,-122.43337,1349000,1954,4961,SINGLE_FAMILY,1171000,3,2,1575,,Golden Gate Sotheby's International Realty,,FOR_SALE,0
6,303 Forest View Dr,South San Francisco,CA,94080,37.6629,-122.43463,1150000,1953,4500,SINGLE_FAMILY,1131400,3,1,1000,,"Angie Barreto, Broker",,FOR_SALE,0
7,872 Stonegate Dr,South San Francisco,CA,94080,37.66626,-122.42647,898000,1970,76465,TOWNHOUSE,,3,3,1454,460,Rise Homes,,FOR_SALE,0
8,2200 Gellert Blvd APT 6207,South San Francisco,CA,94080,37.648457,-122.453865,463457,2006,46848,CONDO,621600,1,1,828,440,Compass,367000,FOR_SALE,1
9,709 W Orange Ave,South San Francisco,CA,94080,37.64973,-122.43276,949000,1944,3998,SINGLE_FAMILY,1152400,2,1,800,,Coldwell Banker Realty,680000,FOR_SALE,0
10,1 Mandalay Pl UNIT 702,South San Francisco,CA,94080,37.666145,-122.40382,749000,2004,44731,CONDO,770400,1,1,935,538,Coldwell Banker Realty,575000,FOR_SALE,2
11,814 Miller Ave,South San Francisco,CA,94080,37.660213,-122.4269,1805000,1939,7000,SINGLE_FAMILY,1855500,4,3,2000,,KW Peninsula Estates,1605000,FOR_SALE,0
12,353 Granada Dr,South San Francisco,CA,94080,37.64136,-122.43593,1195000,1955,5250,SINGLE_FAMILY,1327500,3,1,1160,,Sotheby's International Realty,,FOR_SALE,2
13,10 Moonlight Ct,South San Francisco,CA,94080,37.6417,-122.44822,1180000,1995,1865,SINGLE_FAMILY,1339200,3,3,1610,130,Compass,650000,FOR_SALE,3
14,389 Heather Way,South San Francisco,CA,94080,37.666046,-122.43337,1349000,1954,4961,SINGLE_FAMILY,1171000,3,2,1575,,Golden Gate Sotheby's International Realty,,FOR_SALE,0
15,303 Forest View Dr,South San Francisco,CA,94080,37.6629,-122.43463,1150000,1953,4500,SINGLE_FAMILY,1131400,3,1,1000,,"Angie Barreto, Broker",,FOR_SALE,0
16,872 Stonegate Dr,South San Francisco,CA,94080,37.66626,-122.42647,898000,1970,76465,TOWNHOUSE,,3,3,1454,460,Rise Homes,,FOR_SALE,0
17,2200 Gellert Blvd APT 6207,South San Francisco,CA,94080,37.648457,-122.453865,463457,2006,46848,CONDO,621600,1,1,828,440,Compass,367000,FOR_SALE,1
18,709 W Orange Ave,South San Francisco,CA,94080,37.64973,-122.43276,949000,1944,3998,SINGLE_FAMILY,1152400,2,1,800,,Coldwell Banker Realty,680000,FOR_SALE,0
19,1 Mandalay Pl UNIT 702,South San Francisco,CA,94080,37.666145,-122.40382,749000,2004,44731,CONDO,770400,1,1,935,538,Coldwell Banker Realty,575000,FOR_SALE,2
20,814 Miller Ave,South San Francisco,CA,94080,37.660213,-122.4269,1805000,1939,7000,SINGLE_FAMILY,1855500,4,3,2000,,KW Peninsula Estates,1605000,FOR_SALE,0
21,353 Granada Dr,South San Francisco,CA,94080,37.64136,-122.43593,1195000,1955,5250,SINGLE_FAMILY,1327500,3,1,1160,,Sotheby's International Realty,,FOR_SALE,2
22,10 Moonlight Ct,South San Francisco,CA,94080,37.6417,-122.44822,1180000,1995,1865,SINGLE_FAMILY,1339200,3,3,1610,130,Compass,650000,FOR_SALE,3
23,389 Heather Way,South San Francisco,CA,94080,37.666046,-122.43337,1349000,1954,4961,SINGLE_FAMILY,1171000,3,2,1575,,Golden Gate Sotheby's International Realty,,FOR_SALE,0
24,303 Forest View Dr,South San Francisco,CA,94080,37.6629,-122.43463,1150000,1953,4500,SINGLE_FAMILY,1131400,3,1,1000,,"Angie Barreto, Broker",,FOR_SALE,0
25,872 Stonegate Dr,South San Francisco,CA,94080,37.66626,-122.42647,898000,1970,76465,TOWNHOUSE,,3,3,1454,460,Rise Homes,,FOR_SALE,0
